label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,320,,198.0877,12.2758,0.792119,,,,,,,,340261.65833333327
,,321,,310.1764,14.32408,0.8393035,,,,,,,,4090388.716666666
,,322,,310.1762,11.44398,0.8022177,,,,,,,,553916.9499999995
,,323,,476.2709,5.209106,0.8276109,,,,,,,,18122.9087890625
,,324,,171.0766,13.38127,0.8208716,,,,,,,,3836489.16666667
,,325,,171.0768,11.29007,0.8328251,,,,,,,,744105.4208333343
,,326,,159.028,7.679267,0.841451,,,,,,,,3985419.8666666625
,,327,,245.0958,9.061555,0.8341731,,,,,,,,3983797.100000001
,,328,,245.0958,7.105339,0.7319227,,,,,,,,48511.8166666667
,,329,,202.1804,5.029589,0.7379172,,,,,,,,4070190.6000000103
,,331,,387.2003,2.593072,0.8539323,,,,,,,,198228.13333333336
,,334,,446.2379,2.8143,0.8359897,,,,,,,,3739535.4166666637
,,335,,204.0989,11.31446,0.8539753,,,,,,,,618324.6385416667
,,336,,204.0983,13.0711,0.8493109,,,,,,,,152627.0598958334
,,337,,204.0984,11.84413,0.8434283,,,,,,,,54168.94479166665
,,338,,496.3406,7.095434,0.8391247,,,,,,,,2890929.4333333336
,,339,,496.3407,3.071689,0.82405,,,,,,,,1666947.9125000006
,,340,,243.088,4.240089,0.8291849,,,,,,,,2401089.3062499994
,,341,,243.0881,3.086534,0.7459176,,,,,,,,98402.7161458334
,,342,,779.2309,2.465911,0.8387202,,,,,,,,2988300.9750000024
,,343,,177.1002,13.63312,0.8306527,,,,,,,,2296812.6
,,347,,696.363,3.091495,0.6776982,,,,,,,,83122.84375000023
,,348,,199.0694,11.29493,0.83845,,,,,,,,3427450.8666666695
,,350,,651.1163,14.15464,0.8401217,,,,,,,,3229712.0833333354
,,351,,611.1851,2.480556,0.8318002,,,,,,,,3233185.600000003
,,353,,338.8324,13.96245,0.8444262,,,,,,,,3537241.3500000015
,,355,,175.1272,16.66652,0.8475906,,,,,,,,483418.6179036454
,,356,,446.7336,13.85917,0.8510519,,,,,,,,1869368.1479166641
,,357,,293.1457,13.390930000000001,0.8563152,,,,,,,,3535227.8499999964
,,358,,204.087,13.80442,0.8329474,,,,,,,,2531209.8354166695
,,359,,204.0871,12.96792,0.7204027,,,,,,,,102847.57187499997
,,360,,244.2275,2.9229,0.8338906,,,,,,,,2774366.7666666643
,,362,,322.1877,12.21634,0.8358287,,,,,,,,165562.72395833372
,,363,,322.1866,7.095434,0.8128504,,,,,,,,303608.53958333243
,,365,,385.1291,13.41515,0.8386874,,,,,,,,3306364.5833333433
,,366,,385.1317,11.85419,0.8002024,,,,,,,,188858.59166666682
,,367,,303.1489,9.066689,0.8346664,,,,,,,,3518727.2
,,368,,246.1564,14.14479,0.8413899,,,,,,,,2929876.116666665
,,369,,246.1565,13.13993,0.7922886,,,,,,,,18198.650748697935
,,370,,508.0042,14.20419,0.8299625,,,,,,,,3073984.550000002
,,371,,925.2717,2.465911,0.8388571,,,,,,,,3094544.433333336
,,372,,523.36,7.095434,0.8321047,,,,,,,,2516954.566666666
,,373,,523.36,3.076639,0.8168511,,,,,,,,1619145.8625
,,374,,205.1297,13.40062,0.810179,,,,,,,,1540118.3666666674
,,375,,205.1299,14.2442,0.5809426,,,,,,,,38624.21222330728
,,376,,192.16,4.235134,0.8279129,,,,,,,,2279277.137499998
,,378,,445.1206,2.539206,0.8402299,,,,,,,,2538359.025000004
,,379,,504.2965,2.789811,0.8389729,,,,,,,,3062545.7000000016
,,380,,269.0861,13.21909,0.8498461,,,,,,,,28748.094921874977
,,381,,269.0861,11.96496,0.7065336,,,,,,,,3720.602115885412
,,382,,791.3837,2.789811,0.8513361,,,,,,,,2357346.891666668
,,383,,556.1389,14.16942,0.8372797,,,,,,,,3127399.933333334
,,384,,269.0883,8.696306,0.8417895,,,,,,,,3507076.0166666647
,,385,,266.0806,13.58947,0.8530902,,,,,,,,215625.14062500015
,,386,,176.8844,13.86902,0.858462,,,,,,,,2570403.627083334
,,387,,488.3588,2.765328,0.8350248,,,,,,,,2380270.216666671
,,388,,246.1814,13.44904,0.8413861,,,,,,,,2743777.633333332
,,389,,246.1816,11.30467,0.8379747,,,,,,,,296423.28333333315
,,392,,348.766,13.87887,0.8420089,,,,,,,,1755880.9333333329
,,393,,134.0449,13.57492,0.8177833,,,,,,,,2866512.875000001
,,394,,389.3458,2.519661,0.8395752,,,,,,,,2720436.875000003
,,396,,130.0978,10.59473,0.8106608,,,,,,,,2172131.3250000007
