id,mz,rt,rtmin,rtmax,n_glc,image,prediction,EVA_remove,peak_group,n,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
3454,239.0232,9.96,9.9,10.16,240000,F2654.png,FALSE,TRUE,,,FALSE,240000,FALSE,FALSE,FALSE
1303,239.0233,3.3,3.1,3.76,77000,F2655.png,TRUE,FALSE,,,FALSE,77000,FALSE,FALSE,FALSE
3667,239.0233,10.44,10.36,10.56,300000,F2656.png,TRUE,FALSE,,,FALSE,300000,FALSE,FALSE,FALSE
1949,239.037,6.6,6.4,6.8,590000,F2657.png,TRUE,FALSE,,,FALSE,590000,FALSE,FALSE,FALSE
2416,239.0399,7.87,7.79,8.13,390000,F2658.png,TRUE,FALSE,,,FALSE,390000,FALSE,FALSE,FALSE
2903,239.0597,8.81,8.7,9.1,1100000,F2659.png,TRUE,FALSE,,,FALSE,1100000,FALSE,FALSE,FALSE
134,239.0598,1.53,1.36,2.01,5100000,F2660.png,TRUE,FALSE,,,FALSE,5100000,FALSE,FALSE,FALSE
3668,239.0725,10.44,10.36,10.67,1000000,F2661.png,TRUE,FALSE,,,FALSE,1000000,FALSE,FALSE,FALSE
3077,239.0773,9.15,8.73,9.7,72000000,F2662.png,TRUE,FALSE,,,FALSE,72000000,FALSE,FALSE,FALSE
3669,239.0774,10.44,10.27,11.79,130000000,F2663.png,TRUE,FALSE,,,FALSE,130000000,FALSE,FALSE,FALSE
478,239.0926,1.84,1.62,2.36,480000,F2666.png,TRUE,FALSE,,,FALSE,480000,FALSE,FALSE,FALSE
1031,239.0926,2.73,2.41,2.81,500000,F2667.png,TRUE,FALSE,,,FALSE,500000,FALSE,FALSE,FALSE
2844,239.0967,8.7,8.56,9.07,1100000,F2668.png,TRUE,FALSE,,,FALSE,1100000,FALSE,FALSE,FALSE
22,239.1052,1.24,1.19,1.39,300000,F2669.png,FALSE,TRUE,,,FALSE,300000,FALSE,FALSE,FALSE
100,239.1052,1.5,1.39,1.59,380000,F2670.png,FALSE,TRUE,,,FALSE,380000,FALSE,FALSE,FALSE
873,239.1052,2.53,2.39,2.61,550000,F2671.png,FALSE,TRUE,,,FALSE,550000,FALSE,FALSE,FALSE
553,239.129,1.9,1.59,2.16,310000,F2672.png,TRUE,FALSE,,,FALSE,310000,FALSE,FALSE,FALSE
757,239.129,2.39,2.36,2.56,54000,F2673.png,FALSE,TRUE,,,FALSE,54000,FALSE,FALSE,FALSE
496,239.1403,1.87,1.73,1.99,270000,F2674.png,FALSE,TRUE,,,FALSE,270000,FALSE,FALSE,FALSE
445,239.1655,1.76,1.64,1.96,140000,F2675.png,TRUE,FALSE,,,FALSE,140000,FALSE,FALSE,FALSE
3670,239.1762,10.44,10.36,10.64,280000,F2676.png,TRUE,FALSE,,,FALSE,280000,FALSE,FALSE,FALSE
4742,239.8716,13.02,12.9,13.36,75000,F2677.png,FALSE,TRUE,,,FALSE,75000,FALSE,FALSE,FALSE
1872,239.9037,6.22,6.05,6.4,590000,F2678.png,TRUE,FALSE,,,FALSE,590000,FALSE,FALSE,FALSE
3116,239.9626,9.27,9.21,9.45,2700000,F2679.png,TRUE,FALSE,,,FALSE,2700000,FALSE,FALSE,FALSE
5300,239.9975,14.59,14.16,15.1,1100000,F2680.png,TRUE,FALSE,,,FALSE,1100000,FALSE,FALSE,FALSE
2761,240.0224,8.61,8.53,8.73,190000,F2681.png,TRUE,FALSE,,,FALSE,190000,FALSE,FALSE,FALSE
2599,240.0491,8.33,8.24,8.5,540000,F2682.png,TRUE,FALSE,,,FALSE,540000,FALSE,FALSE,FALSE
665,240.0595,2.13,2.01,2.39,50000,F2684.png,TRUE,FALSE,,,FALSE,50000,FALSE,FALSE,FALSE
6027,240.0628,16.86,16.8,17.26,140000,F2685.png,FALSE,TRUE,,,FALSE,140000,FALSE,FALSE,FALSE
6233,240.0628,17.7,17.61,17.84,130000,F2686.png,FALSE,TRUE,,,FALSE,130000,FALSE,FALSE,FALSE
5716,240.0629,15.97,15.76,15.99,84000,F2687.png,FALSE,TRUE,,,FALSE,84000,FALSE,FALSE,FALSE
3108,240.0807,9.18,8.73,9.39,6300000,F2689.png,TRUE,FALSE,,,FALSE,6300000,FALSE,FALSE,FALSE
3290,240.0807,9.62,9.47,9.7,370000,F2690.png,FALSE,TRUE,,,FALSE,370000,FALSE,FALSE,FALSE
3671,240.0808,10.44,10.27,11.64,12000000,F2691.png,TRUE,FALSE,,,FALSE,12000000,FALSE,FALSE,FALSE
2160,240.0854,7.02,6.91,7.14,410000,F2692.png,TRUE,FALSE,,,FALSE,410000,FALSE,FALSE,FALSE
2856,240.0977,8.73,8.59,8.79,200000,F2693.png,TRUE,FALSE,,,FALSE,200000,FALSE,FALSE,FALSE
1813,240.1004,6.05,5.91,6.08,78000,F2694.png,FALSE,TRUE,,,FALSE,78000,FALSE,FALSE,FALSE
874,240.1005,2.53,2.36,2.61,210000,F2695.png,TRUE,FALSE,,,FALSE,210000,FALSE,FALSE,FALSE
4743,240.871,13.02,12.81,13.42,240000,F2696.png,FALSE,TRUE,,,FALSE,240000,FALSE,FALSE,FALSE
4933,240.871,13.73,13.42,13.85,110000,F2697.png,FALSE,TRUE,,,FALSE,110000,FALSE,FALSE,FALSE
5486,240.871,15.39,15.33,15.65,61000,F2698.png,FALSE,TRUE,,,FALSE,61000,FALSE,FALSE,FALSE
5452,240.8962,15.16,15.07,15.79,150000,F2699.png,FALSE,TRUE,,,FALSE,150000,FALSE,FALSE,FALSE
1873,240.9021,6.22,6.05,6.4,290000,F2700.png,TRUE,FALSE,,,FALSE,290000,FALSE,FALSE,FALSE
367,240.9136,1.64,1.59,2.16,230000,F2701.png,TRUE,FALSE,,,FALSE,230000,FALSE,FALSE,FALSE
4553,240.9773,12.47,12.36,12.67,590000,F2702.png,TRUE,FALSE,,,FALSE,590000,FALSE,FALSE,FALSE
5368,240.9923,14.65,14.19,15.07,1500000,F2703.png,TRUE,FALSE,,,FALSE,1500000,FALSE,FALSE,FALSE
3515,241.012,10.1,9.96,10.21,750000,F2704.png,TRUE,FALSE,,,FALSE,750000,FALSE,FALSE,FALSE
4167,241.0121,11.58,11.5,11.67,250000,F2705.png,TRUE,FALSE,,,FALSE,250000,FALSE,FALSE,FALSE
4674,241.0121,12.67,12.53,13.02,200000,F2706.png,TRUE,FALSE,,,FALSE,200000,FALSE,FALSE,FALSE
4079,241.0122,11.33,11.18,11.44,400000,F2707.png,TRUE,FALSE,,,FALSE,400000,FALSE,FALSE,FALSE
187,241.0566,1.56,1.39,1.82,520000,F2708.png,TRUE,FALSE,,,FALSE,520000,FALSE,FALSE,FALSE
4069,241.0598,11.3,10.93,11.93,1700000,F2709.png,TRUE,FALSE,,,FALSE,1700000,FALSE,FALSE,FALSE
980,241.0732,2.7,1.96,2.84,9000000,F2710.png,TRUE,FALSE,,,FALSE,9000000,FALSE,FALSE,FALSE
1170,241.0734,2.95,2.84,3.3,340000,F2711.png,TRUE,FALSE,,,FALSE,340000,FALSE,FALSE,FALSE
3078,241.0816,9.15,8.76,9.27,1400000,F2712.png,TRUE,FALSE,,,FALSE,1400000,FALSE,FALSE,FALSE
3694,241.0817,10.47,10.3,10.93,2100000,F2713.png,TRUE,FALSE,,,FALSE,2100000,FALSE,FALSE,FALSE
5026,241.0865,13.99,13.82,14.08,95000,F2714.png,TRUE,FALSE,,,FALSE,95000,FALSE,FALSE,FALSE
