ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
110535,113307,302,7564,7920,0.3700837657473868,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,670,0,0,NA,NA,NA,0,0
79771,128817,303,4542,9394,-1.0851730662408654,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,674,0,0,NA,NA,NA,0,0
79771,81026,304,4542,4792,-0.25554023514448193,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,678,0,0,NA,NA,NA,0,0
79771,187157,305,4542,11875,-0.25554023514448193,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,682,0,0,NA,NA,NA,0,0
79771,113307,306,4542,7920,-0.044732112110501626,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,686,0,0,NA,NA,NA,0,0
126582,128817,307,9240,9394,-1.0851730662408654,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,690,0,0,NA,0.31599435248954194,NA,0.31599435248954194,1
126582,81026,308,9240,4792,-0.25554023514448193,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,694,0,0,NA,NA,NA,0,0
126582,187157,309,9240,11875,-0.25554023514448193,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,698,0,0,NA,NA,NA,0,0
126582,113307,310,9240,7920,-0.044732112110501626,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,702,0,0,NA,NA,NA,0,0
111957,128817,311,7787,9394,-1.4999893758834375,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,706,0,0,NA,0.32931280825413356,NA,0.32931280825413356,1
111957,81026,312,7787,4792,-0.6703562006421981,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,710,0,0,NA,NA,NA,0,0
111957,187157,313,7787,11875,-0.6703562006421981,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,714,0,0,NA,NA,NA,0,0
111957,113307,314,7787,7920,-0.45954799016166503,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,718,0,0,NA,NA,NA,0,0
187033,99758,318,11845,7230,-0.1466997580068769,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,723,0,0,NA,NA,NA,0,0
187033,116473,319,11845,8169,0.2680135073998293,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,727,0,0,NA,NA,NA,0,0
90860,81530,329,5649,4911,-1.2807657724133164,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,756,0,0,NA,NA,NA,0,0
90860,85040,330,5649,5270,-1.1794274882661093,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,760,0,0,NA,NA,NA,0,0
120298,81530,332,8581,4911,-1.2807657724133164,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,768,0,0,NA,NA,NA,0,0
120298,85040,333,8581,5270,-1.1794274882661093,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,772,0,0,NA,NA,NA,0,0
95739,81530,335,6440,4911,-1.3888598146684519,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,780,0,0,NA,NA,NA,0,0
95739,85040,336,6440,5270,-1.2875215195671939,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,784,0,0,NA,NA,NA,0,0
98523,81530,338,6915,4911,-1.8009683511861854,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,792,0,0,NA,NA,NA,0,0
98523,85040,339,6915,5270,-1.6996300143226089,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,796,0,0,NA,NA,NA,0,0
76090,81611,358,4019,4936,0.2644864135551167,Biotransform,H-1N-1O1,0,0,C5H12N2O1S1,C5H11N1O2S1,837,0,0,NA,NA,NA,0,0
76090,98516,359,4019,6913,0.3651229807253475,Biotransform,H-1N-1O1,0,0,C5H12N2O1S1,C5H11N1O2S1,840,0,0,NA,NA,NA,0,0
99300,80583,368,7134,4693,-0.45035717623041865,Biotransform,H-1N-1O1,0,0,C6H7N5,C6H6N4O1,871,0,0,NA,NA,NA,0,0
99300,92491,369,7134,5866,0.16275439065308756,Biotransform,H-1N-1O1,0,0,C6H7N5,C6H6N4O1,877,0,0,NA,NA,NA,0,0
68036,111135,376,3188,7648,0.6647671662084801,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,893,0,0,NA,NA,NA,0,0
68036,99228,377,3188,7115,0.8633590860509068,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,897,0,0,NA,NA,NA,0,0
68036,124100,378,3188,9056,0.8633590860509068,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,901,0,0,NA,NA,NA,0,0
70685,111135,379,3429,7648,0.5588513842953862,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,905,0,0,NA,NA,NA,0,0
70685,99228,380,3429,7115,0.7574433251718455,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,909,0,0,NA,NA,NA,0,0
70685,124100,381,3429,9056,0.7574433251718455,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,913,0,0,NA,NA,NA,0,0
96008,111135,382,6491,7648,-0.2487564534269412,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,917,0,0,NA,NA,NA,0,0
96008,99228,383,6491,7115,-0.05016435216598437,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,921,0,0,NA,NA,NA,0,0
96008,124100,384,6491,9056,-0.05016435216598437,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,925,0,0,NA,NA,NA,0,0
110462,80012,390,7552,4587,0.6604163294178573,Biotransform,H-1N-1O1,0,0,C7H9N3O1,C7H8N2O2,941,0,0,NA,NA,NA,0,0
110462,112005,391,7552,7793,1.0615769649257816,Biotransform,H-1N-1O1,0,0,C7H9N3O1,C7H8N2O2,945,0,0,NA,NA,NA,0,0
80012,80097,392,4587,4603,-0.049515613767277485,Biotransform,H-1N-1O1,0,0,C7H8N2O2,C7H7N1O3,949,0,0,NA,NA,NA,0,0
80012,99717,393,4587,7224,0.15304228995600908,Biotransform,H-1N-1O1,0,0,C7H8N2O2,C7H7N1O3,953,0,0,NA,NA,NA,0,0
80012,117171,394,4587,8224,0.5516237322563082,Biotransform,H-1N-1O1,0,0,C7H8N2O2,C7H7N1O3,957,0,0,NA,NA,NA,0,0
112005,80097,395,7793,4603,-0.44809735667055905,Biotransform,H-1N-1O1,0,0,C7H8N2O2,C7H7N1O3,961,0,0,NA,NA,NA,0,0
112005,99717,396,7793,7224,-0.24553937221139419,Biotransform,H-1N-1O1,0,0,C7H8N2O2,C7H7N1O3,965,0,0,NA,NA,NA,0,0
112005,117171,397,7793,8224,0.15304222895618308,Biotransform,H-1N-1O1,0,0,C7H8N2O2,C7H7N1O3,969,0,0,NA,NA,NA,0,0
186420,184330,404,11658,11392,0.1510173234361818,Biotransform,H-1N-1O1,0,0,C8H14N2O1,C8H13N1O2,976,0,0,NA,NA,NA,0,0
110540,110412,405,7565,7543,-0.24080198698891017,Biotransform,H-1N-1O1,0,0,C6H9N3O2,C6H8N2O3,978,0,0,NA,NA,NA,0,0
110540,173753,406,7565,10854,0.4448598669645787,Biotransform,H-1N-1O1,0,0,C6H9N3O2,C6H8N2O3,982,0,0,NA,NA,NA,0,0
131086,110412,407,9498,7543,-0.8303432826056356,Biotransform,H-1N-1O1,0,0,C6H9N3O2,C6H8N2O3,986,0,0,NA,0.48557642029381615,NA,0.48557642029381615,1
131086,173753,408,9498,10854,-0.14468102442626637,Biotransform,H-1N-1O1,0,0,C6H9N3O2,C6H8N2O3,990,0,0,NA,NA,NA,0,0
172329,110412,409,10795,7543,-0.8303432826056356,Biotransform,H-1N-1O1,0,0,C6H9N3O2,C6H8N2O3,994,0,0,NA,NA,NA,0,0
172329,173753,410,10795,10854,-0.14468102442626637,Biotransform,H-1N-1O1,0,0,C6H9N3O2,C6H8N2O3,998,0,0,NA,NA,NA,0,0
110412,110615,413,7543,7580,0.1555169254351506,Biotransform,H-1N-1O1,0,0,C6H8N2O3,C6H7N1O4,1006,0,0,NA,NA,NA,0,0
173753,110615,415,10854,7580,-0.5258486884994565,Biotransform,H-1N-1O1,0,0,C6H8N2O3,C6H7N1O4,1014,0,0,NA,NA,NA,0,0
77329,171502,420,4184,10770,-0.04187836466653716,Biotransform,H-1N-1O1,0,0,C7H12N2O2,C7H11N1O3,1019,0,0,NA,NA,NA,0,0
77329,131590,421,4184,9531,0.34647362000277726,Biotransform,H-1N-1O1,0,0,C7H12N2O2,C7H11N1O3,1021,0,0,NA,NA,NA,0,0
100492,94166,428,7276,6181,0.7303150051819921,Biotransform,H-1N-1O1,0,0,C4H7N5O2,C4H6N4O3,1043,0,0,NA,NA,NA,0,0
171502,119246,429,10770,8462,0.33798981861693417,Biotransform,H-1N-1O1,0,0,C7H11N1O3,C7H10O4,1045,0,0,NA,NA,NA,0,0
131590,119246,430,9531,8462,-0.047944420815059674,Biotransform,H-1N-1O1,0,0,C7H11N1O3,C7H10O4,1049,0,0,NA,NA,NA,0,0
95176,80138,459,6350,4612,-0.42213873864760393,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,1098,0,0,NA,NA,NA,0,0
95176,120736,460,6350,8638,-0.04109070345697834,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,1100,0,0,NA,NA,NA,0,0
111447,80138,468,7700,4612,-0.8031867581806983,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,1116,0,0,NA,NA,NA,0,0
111447,120736,469,7700,8638,-0.42213857779253494,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,1118,0,0,NA,NA,NA,0,0
80138,132337,477,4612,9584,-0.8976170822790825,Biotransform,H-1N-1O1,0,0,C6H12N2O3,C6H11N1O4,1130,0,0,NA,0.15351492808283776,NA,0.15351492808283776,1
120736,132337,478,8638,9584,-1.2763375103001355,Biotransform,H-1N-1O1,0,0,C6H12N2O3,C6H11N1O4,1134,0,0,NA,NA,NA,0,0
186864,123876,482,11804,9016,1.566814323120347,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,1138,0,0,NA,NA,NA,0,0
186864,81866,483,11804,4976,1.6661281207640017,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,1142,0,0,NA,NA,NA,0,0
186864,111454,484,11804,7704,2.0447617928499655,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,1146,0,0,NA,NA,NA,0,0
186864,117470,485,11804,8251,2.0447617928499655,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,1150,0,0,NA,NA,NA,0,0
186040,123876,490,11588,9016,-0.3263580967669892,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,1170,0,0,NA,0.18529347365699947,NA,0.18529347365699947,1
186040,81866,491,11588,4976,-0.22704411110489733,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,1174,0,0,NA,NA,NA,0,0
186040,111454,492,11588,7704,0.15159027780101475,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,1178,0,0,NA,NA,NA,0,0
186040,117470,493,11588,8251,0.15159027780101475,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,1182,0,0,NA,NA,NA,0,0
19282,67976,498,890,3182,-0.6022155683057474,Biotransform,H-1N-1O1,0,0,C9H7N1O2,C9H6O3,1186,0,0,NA,NA,NA,0,0
93788,67976,499,6122,3182,-0.886110669103088,Biotransform,H-1N-1O1,0,0,C9H7N1O2,C9H6O3,1190,0,0,NA,NA,NA,0,0
72394,119211,525,3685,8459,0.6022687840724539,Biotransform,H-1N-1O1,0,0,C9H12N2O1,C9H11N1O2,1233,0,0,NA,NA,NA,0,0
72394,96004,526,3685,6490,0.8809228008844947,Biotransform,H-1N-1O1,0,0,C9H12N2O1,C9H11N1O2,1237,0,0,NA,0.7013841616408113,NA,0.7013841616408113,1
98717,120877,534,6957,8658,0.6910446263944043,Biotransform,H-1N-1O1,0,0,C4H10N2O3S1,C4H9N1O4S1,1277,0,0,NA,NA,NA,0,0
87030,127362,536,5393,9308,-0.2249242883793184,Biotransform,H-1N-1O1,0,0,C7H10N4O1,C7H9N3O2,1281,0,0,NA,NA,NA,0,0
87030,111285,537,5393,7665,0.22997597217002338,Biotransform,H-1N-1O1,0,0,C7H10N4O1,C7H9N3O2,1283,0,0,NA,NA,NA,0,0
127493,99161,552,9321,7094,0.40819839730106877,Biotransform,H-1N-1O1,0,0,C7H11N3O2,C7H10N2O3,1294,0,0,NA,NA,NA,0,0
172407,99161,555,10803,7094,0.04952100061583413,Biotransform,H-1N-1O1,0,0,C7H11N3O2,C7H10N2O3,1300,0,0,NA,NA,NA,0,0
91518,99161,558,5710,7094,-0.13275767646484768,Biotransform,H-1N-1O1,0,0,C7H11N3O2,C7H10N2O3,1306,0,0,NA,NA,NA,0,0
80008,119414,577,4585,8491,0.6707269386267143,Biotransform,H-1N-1O1,0,0,C7H13N3O2,C7H12N2O3,1327,0,0,NA,NA,NA,0,0
186833,119414,579,11794,8491,0.3162508140467737,Biotransform,H-1N-1O1,0,0,C7H13N3O2,C7H12N2O3,1331,0,0,NA,NA,NA,0,0
172441,130684,596,10806,9469,-0.388236074562082,Biotransform,H-1N-1O1,0,0,C6H11N3O3,C6H10N2O4,1363,0,0,NA,NA,NA,0,0
186850,123695,600,11800,8986,-1.4392730576018684,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1373,0,0,NA,NA,NA,0,0
187178,123695,601,11882,8986,-1.4392730576018684,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1377,0,0,NA,NA,NA,0,0
111666,123695,602,7747,8986,-1.881546622897153,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1381,0,0,NA,NA,NA,0,0
132100,131986,609,9568,9557,0.39656232172239436,Biotransform,H-1N-1O1,0,0,C5H10N4O3,C5H9N3O4,1399,0,0,NA,0.35102676516007547,NA,0.35102676516007547,1
