id,mz,rt,rtmin,rtmax,p_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
3530,219.0814,14.29,14.11,14.58,12000,F466.png,TRUE,FALSE,FALSE,12000,FALSE,FALSE,FALSE
2448,219.126,10.78,10.71,10.85,1100,F467.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1376,219.1413,5.86,5.35,7.38,16000,F468.png,TRUE,FALSE,FALSE,16000,FALSE,FALSE,FALSE
4536,219.945,14.62,14.41,14.83,1500,F469.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
1443,220.1178,7.39,7.09,8.29,64000,F470.png,TRUE,FALSE,FALSE,64000,FALSE,FALSE,FALSE
1374,220.143,5.85,5.54,6.42,2000,F471.png,TRUE,FALSE,FALSE,2000,FALSE,FALSE,FALSE
3175,220.9352,14.1,13.96,15.94,11000,F472.png,TRUE,FALSE,FALSE,11000,FALSE,FALSE,FALSE
1444,221.1203,7.39,7.16,8.14,6800,F473.png,TRUE,FALSE,FALSE,6800,FALSE,FALSE,FALSE
999,221.1694,2.66,2.43,2.91,1600,F474.png,FALSE,TRUE,FALSE,1600,FALSE,FALSE,FALSE
1257,221.1697,3.32,2.96,3.76,37000,F475.png,TRUE,FALSE,FALSE,37000,FALSE,FALSE,FALSE
1259,221.6709,3.33,3.12,3.7,10000,F476.png,TRUE,FALSE,FALSE,10000,FALSE,FALSE,FALSE
1478,222.0959,7.65,7.57,7.75,1100,F477.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1260,222.1711,3.33,3.17,3.69,2200,F478.png,FALSE,TRUE,FALSE,2200,FALSE,FALSE,FALSE
295,223.0626,1.63,1.48,2.15,4500,F479.png,TRUE,FALSE,FALSE,4500,FALSE,FALSE,FALSE
2666,223.0748,11.33,11.17,11.75,120000,F480.png,TRUE,FALSE,FALSE,120000,FALSE,FALSE,FALSE
1506,223.0992,7.85,7.76,8.1,2300,F481.png,FALSE,TRUE,FALSE,2300,FALSE,FALSE,FALSE
2667,224.077,11.33,11.21,11.53,10000,F482.png,TRUE,FALSE,FALSE,10000,FALSE,FALSE,FALSE
2755,225.0148,11.73,11.65,11.81,1500,F483.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
2668,225.071,11.33,11.23,11.51,6200,F484.png,TRUE,FALSE,FALSE,6200,FALSE,FALSE,FALSE
1015,226.1793,2.9,2.83,2.96,1900,F485.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
3606,226.9864,14.33,14.07,14.96,20000,F486.png,TRUE,FALSE,FALSE,20000,FALSE,FALSE,FALSE
1536,227.0785,8.02,7.83,8.38,12000,F487.png,TRUE,FALSE,FALSE,12000,FALSE,FALSE,FALSE
2342,227.1128,10.48,10.33,10.68,3000,F488.png,TRUE,FALSE,FALSE,3000,FALSE,FALSE,FALSE
