ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
14690,14554,6079,553,543,-2.692842019366726,Natural_abundance,[13]C1C-1,1,0,C11H22N4O2,[13]C1C10H22N4O2,8141,1,0,-0.5976615166980052,,,,0.4023385,1
14566,14576,6080,544,545,-0.22279358464084933,Natural_abundance,[13]C1C-1,1,0,C12H23N1O2S1,[13]C1C11H23N1O2S1,8143,1,0,-0.038070833088746855,,,,0.9619292,1
22719,22728,6081,1087,1088,-5.09756638337301,Natural_abundance,[13]C1C-1,1,0,C12H23N1O4,[13]C1C11H23N1O4,8148,1,0,-0.02533089573159674,,,,0.9746691,1
115877,115884,6084,4598,4599,-2.2189594906721677,Natural_abundance,[13]C1C-1,1,0,C7H11N3O5S1,[13]C1C6H11N3O5S1,8156,1,0,-0.002442352930903819,,,,0.9975576,1
29540,29562,6085,1666,1667,-4.086863500408297,Natural_abundance,[13]C1C-1,1,0,C8H20N1O6P1,[13]C1C7H20N1O6P1,8160,1,0,-0.03292870750816779,,,,0.9670713,1
2278,2295,6087,154,155,0.9387933842529742,Natural_abundance,[13]C1C-1,1,0,C16H20O3,[13]C1C15H20O3,8168,1,0,-3.6507588897667154e-4,,,,0.9996349,1
22536,22571,6088,1062,1065,-4.0094123572492775,Natural_abundance,[13]C1C-1,1,0,C12H14N4O1S1,[13]C1C11H14N4O1S1,8177,1,0,-0.03685453282396745,,,,0.9631455,1
28536,28534,6089,1598,1597,-3.628635664897204,Natural_abundance,[13]C1C-1,1,0,C8H18N6O4,[13]C1C7H18N6O4,8182,1,0,-0.0233724668481255,,,,0.9766275,1
25154,25166,6090,1343,1344,-3.6017192897124106,Natural_abundance,[13]C1C-1,1,0,C12H16N4O1S1,[13]C1C11H16N4O1S1,8185,1,0,-0.014846653222675525,,,,0.9851533,1
36788,36797,6091,2152,2153,-0.9541262952534658,Natural_abundance,[13]C1C-1,1,0,C10H22N2O1Se1,[13]C1C9H22N2O1Se1,8192,1,0,-0.1813898287249184,,,,0.8186102,1
19362,19365,6092,854,855,-2.0769647617326004,Natural_abundance,[13]C1C-1,1,0,C11H22O7,[13]C1C10H22O7,8195,1,0,-3.796174917250158e-4,,,,0.9996204,1
50930,54550,6093,3181,3310,-2.434408958253467,Natural_abundance,[13]C1C-1,1,0,C6H8Na4O6,[13]C1C5H8Na4O6,8198,1,0,-0.0030425616844322063,,,,0.9969574,1
21684,21652,6094,991,988,-0.20148377635948342,Natural_abundance,[13]C1C-1,1,0,C14H25N1O4,[13]C1C13H25N1O4,8202,1,0,-0.0013957503561567025,,,,0.9986042,1
36179,36316,6095,2096,2115,-4.906836536117197,Natural_abundance,[13]C1C-1,1,0,C10H17N3O6,[13]C1C9H17N3O6,8206,1,0,-0.12725136449646915,,,,0.8727486,1
21209,21229,6096,968,969,-7.00444033724469,Natural_abundance,[13]C1C-1,1,0,C12H14N4O2S1,[13]C1C11H14N4O2S1,8211,1,0,-0.012716122789327409,,,,0.9872839,1
2301,2315,6097,156,157,-1.2711248582784032,Natural_abundance,[13]C1C-1,1,0,C16H22O4,[13]C1C15H22O4,8213,1,0,-0.00207618266228703,,,,0.9979238,1
16753,17388,6099,669,707,-1.2621782936758674,Natural_abundance,[13]C1C-1,1,0,C11H21K1N4O2,[13]C1C10H21K1N4O2,8228,1,0,-0.006098681463865426,,,,0.9939013,1
65674,63201,6102,3539,3494,-3.7016251823260333,Natural_abundance,[13]C1C-1,1,0,C6H8K1Na3O6,[13]C1C5H8K1Na3O6,8245,1,0,-1.0117955365874442e-5,,,,0.9999899,1
28416,28395,6103,1586,1584,-3.3488819562113328,Natural_abundance,[13]C1C-1,1,0,C13H20N2O3S1,[13]C1C12H20N2O3S1,8248,1,0,-0.028952801380419897,,,,0.9710472,1
65697,67491,6104,3540,3577,-0.8880512393750024,Natural_abundance,[13]C1C-1,1,0,[41]K1C6H8Na3O6,[13]C1[41]K1C5H8Na3O6,8259,1,0,-6.0200384803578514e-5,,,,0.9999398,1
18666,15090,6105,794,575,-1.2308660429899585,Natural_abundance,[13]C1C-1,1,0,C17H37N1O2,[13]C1C16H37N1O2,8266,1,0,-0.0021971703518547576,,,,0.9978028,1
39511,39519,6107,2322,2323,0.4986168783323754,Natural_abundance,[13]C1C-1,1,0,C10H18N4O6,[13]C1C9H18N4O6,8271,1,0,-0.01817038069630261,,,,0.9818296,1
48417,46888,6108,3058,2979,-1.211249325378309,Natural_abundance,[13]C1C-1,1,0,B1C4H5Na3O8P1,[13]C1B1C3H5Na3O8P1,8276,1,0,-0.07359345163972392,,,,0.9264065,1
48421,46890,6108,3058,2979,-1.211249325378309,Natural_abundance,[13]C1C-1,1,0,B1C6H5K1Na3O6,[13]C1B1C5H5K1Na3O6,8278,1,0,-0.016367329914062492,,,,0.9836327,1
