mz,rt,rtmin,rtmax,p_glc
790.5373,94.2,91.2,113.39999999999999,1600000
792.5531,94.2,89.4,113.39999999999999,1600000
793.5927,94.2,87.6,121.79999999999998,4200000
794.5687,94.2,87.6,116.39999999999999,2700000
796.5845,94.2,89.4,113.39999999999999,1900000
798.6002,94.2,89.4,109.80000000000001,1100000
805.556,94.2,89.4,106.2,2200000
806.5686,94.2,87.6,121.79999999999998,21000000
807.5719,94.2,85.8,123.60000000000001,12000000
808.5845,94.2,85.8,120,29000000
809.5877,94.2,85.8,123.60000000000001,15000000
811.6037,94.2,87.6,121.79999999999998,7400000
814.6315,94.2,89.4,111.60000000000001,1200000
818.605,94.2,87.6,118.2,2900000
819.6084,94.2,87.6,106.2,1600000
820.5843,94.2,87.6,103.2,1200000
830.5682,94.2,85.8,121.79999999999998,3200000
836.6167,94.2,87.6,114.6,2600000
78.2807,96,91.2,114.6,2100000
78.5046,96,91.2,113.39999999999999,1300000
79.838,96,93,108,1100000
79.842,96,91.2,108,1200000
81.1713,96,91.2,114.6,2200000
81.2828,96,91.2,106.2,910000
81.3952,96,87.6,121.79999999999998,12000000
81.5067,96,89.4,121.79999999999998,4800000
81.6182,96,93,104.4,910000
82.9526,96,89.4,113.39999999999999,1900000
83.064,96,91.2,103.2,740000
84.0619,96,91.2,106.2,860000
84.3974,96,89.4,120,3400000
84.7328,96,91.2,104.4,910000
85.8432,96,91.2,108,660000
87.1765,96,89.4,113.39999999999999,2000000
417.2182,96,85.8,123.60000000000001,2900000
678.5062,96,89.4,121.79999999999998,16000000
691.5461,96,93,106.2,870000
692.5218,96,91.2,123.60000000000001,6800000
692.5581,96,91.2,113.39999999999999,2700000
704.5218,96,89.4,121.79999999999998,48000000
705.5252,96,87.6,118.2,19000000
706.5379,96,89.4,121.79999999999998,26000000
707.5411,96,89.4,120,11000000
716.5583,96,89.4,123.60000000000001,6600000
718.5375,96,87.6,121.79999999999998,24000000
718.5738,96,87.6,120,28000000
719.541,96,89.4,121.79999999999998,8900000
719.5774,96,87.6,118.2,13000000
722.5595,96,93,109.80000000000001,820000
726.5041,96,93,111.60000000000001,1200000
728.5213,96,91.2,116.39999999999999,2200000
730.5375,96,87.6,121.79999999999998,46000000
730.5739,96,89.4,113.39999999999999,1500000
731.5409,96,87.6,123.60000000000001,20000000
732.5531,96,87.6,121.79999999999998,230000000
732.5895,96,89.4,120,3100000
733.5565,96,87.6,121.79999999999998,100000000
734.5587,96,87.6,121.79999999999998,23000000
741.5243,96,93,104.4,1000000
742.5375,96,93,111.60000000000001,1600000
744.5532,96,87.6,125.39999999999999,13000000
747.5722,96,87.6,121.79999999999998,16000000
748.6117,96,89.4,108,2100000
756.5533,96,87.6,118.2,18000000
758.5686,96,87.6,121.79999999999998,150000000
759.5721,96,87.6,121.79999999999998,71000000
763.5936,96,89.4,120,3400000
766.5376,96,87.6,120,3000000
767.5771,96,89.4,118.2,3200000
770.5687,96,89.4,118.2,3900000
771.6087,96,87.6,121.79999999999998,2900000
773.5878,96,85.8,121.79999999999998,8100000
775.6037,96,87.6,114.6,2400000
776.5794,96,91.2,120,4400000
777.583,96,91.2,113.39999999999999,1900000
778.5372,96,89.4,121.79999999999998,3400000
781.5561,96,87.6,120,8000000
790.6063,96,91.2,106.2,2300000
791.6098,96,89.4,116.39999999999999,1000000
795.5717,96,87.6,103.2,1000000
798.5634,96,89.4,103.2,1000000
809.5638,96,87.6,104.4,870000
812.6165,96,87.6,103.2,2000000
