mz,rt,rtmin,rtmax,n_293T_2
391.2395,96.60000000000001,93,111.60000000000001,3500
410.2197,96.60000000000001,91.8,119.4,11000
412.2168,96.60000000000001,93,117.6,3200
419.2493,96.60000000000001,93,98.39999999999999,1700
422.2508,96.60000000000001,93,115.8,1400
438.2411,96.60000000000001,91.8,122.99999999999999,2900
848.5328,96.60000000000001,90,169.2,32000
849.5357,96.60000000000001,90.6,159.60000000000002,18000
872.6322,96.60000000000001,93.60000000000001,111.60000000000001,2800
878.62,96.60000000000001,93.60000000000001,98.39999999999999,3100
894.615,96.60000000000001,93,160.8,7400
914.5873,96.60000000000001,93,127.2,2900
205.1593,97.2,60.6,139.2,7600
281.2475,97.2,90.6,158.4,65000
283.2635,97.2,89.4,158.4,170000
284.2664,97.2,84,156.6,33000
303.2315,97.2,93,126.6,9400
305.247,97.2,93,122.4,4200
329.245,97.2,93,111.60000000000001,4900
371.2798,97.2,93,104.4,1400
374.2442,97.2,90.6,230.39999999999998,1300000
375.2469,97.2,90.6,231.6,290000
376.2489,97.2,91.2,175.8,42000
411.2231,97.2,93,111.60000000000001,2600
659.5165,97.2,93,124.19999999999999,15000
660.5193,97.2,94.2,117.6,2900
678.4818,97.2,95.4,105.6,1300
697.3897,97.2,90.6,177.6,18000
860.5335,97.2,91.2,137.4,7300
867.5407,97.2,93,118.2,12000
869.6055,97.2,91.8,148.20000000000002,12000
877.6094,97.2,93.60000000000001,123.60000000000001,1900
890.5885,97.2,91.8,158.4,18000
892.6021,97.2,91.8,156.6,15000
912.5725,97.2,93.60000000000001,122.99999999999999,2600
1042.8353,97.2,95.4,111,2000
282.251,98.39999999999999,93,145.2,14000
328.2314,98.39999999999999,93,140.39999999999998,8400
342.2454,98.39999999999999,93.60000000000001,127.8,4500
420.2479,98.39999999999999,91.2,144.60000000000002,25000
434.2642,98.39999999999999,90.6,159.60000000000002,290000
435.2661,98.39999999999999,90.6,171.6,81000
436.2691,98.39999999999999,91.8,118.8,13000
656.4983,98.39999999999999,93.60000000000001,123.60000000000001,12000
657.501,98.39999999999999,94.2,122.4,4800
658.5139,98.39999999999999,91.8,125.39999999999999,38000
697.4669,98.39999999999999,94.80000000000001,108,1800
850.5434,98.39999999999999,91.8,111,4800
851.5961,98.39999999999999,93,156.6,5800
853.6103,98.39999999999999,93,126.6,6100
868.6015,98.39999999999999,91.8,193.20000000000002,27000
876.6073,98.39999999999999,93,126,4300
891.5917,98.39999999999999,91.8,155.39999999999998,9300
223.0276,99,63,156.6,25000
267.2318,99,94.80000000000001,120,2400
269.2474,99,93.60000000000001,126.6,5800
279.2318,99,93.60000000000001,126.6,9000
421.2488,99,91.8,126,10000
473.2164,99,93.60000000000001,157.20000000000002,110000
474.2191,99,93,159.60000000000002,33000
475.2214,99,93.60000000000001,129.60000000000002,6100
654.4825,99,96.60000000000001,104.4,1200
703.4868,99,94.80000000000001,108,2700
749.5059,99,93,135.6,32000
826.5435,99,91.8,184.2,55000
841.5768,99,91.8,160.8,21000
842.5881,99,91.8,228.6,58000
852.607,99,91.8,160.8,14000
864.5734,99,91.8,155.39999999999998,27000
867.591,99,91.8,160.8,20000
895.6206,99,93,117.6,3000
1040.8218,99,95.4,111,3200
1043.8389,99,96.60000000000001,105,1000
1123.7758,99,96.60000000000001,108,3300
1165.8014,99,97.2,105.6,1400
206.1624,99.6,94.80000000000001,104.4,1000
354.2444,99.6,94.2,107.4,1800
464.2739,99.6,91.8,112.8,5400
630.4829,99.6,93,126,57000
631.4859,99.6,93.60000000000001,124.19999999999999,22000
669.4355,99.6,95.4,118.8,4300
670.4381,99.6,96.60000000000001,105.6,1400
827.5461,99.6,91.8,180,23000
840.5733,99.6,91.8,157.20000000000002,43000
844.6047,99.6,91.8,160.8,130000
845.6081,99.6,91.8,157.20000000000002,63000
865.5767,99.6,93,156.6,14000
879.6212,99.6,93.60000000000001,103.2,1500
1041.8259,99.6,96,107.4,1900
1122.7638,99.6,97.2,105.6,2000
1124.7784,99.6,97.2,106.2,2200
1125.7837,99.6,96.60000000000001,104.4,1600
1141.7835,99.6,96.60000000000001,105.6,1700
255.2328,100.19999999999999,89.4,158.4,250000
256.2357,100.19999999999999,90,154.8,46000
301.1645,100.19999999999999,94.2,126,4700
353.0469,100.19999999999999,96.60000000000001,114,9400
628.4668,100.19999999999999,96,113.39999999999999,2000
772.5257,100.19999999999999,87,156.6,11000
817.5776,100.19999999999999,91.8,155.39999999999998,88000
827.5942,100.19999999999999,93,104.4,6400
830.5905,100.19999999999999,93,162,31000
846.6061,100.19999999999999,91.8,129,27000
851.5483,100.19999999999999,93,101.39999999999999,1200
868.5458,100.19999999999999,96,101.39999999999999,4700
1012.7915,100.19999999999999,96,111,3000
