id,mz,rt,rtmin,rtmax,n_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
2823,364.0237,14.23,14.12,14.36,5800,F1221.png,TRUE,FALSE,FALSE,5800,FALSE,FALSE,FALSE
1385,364.1487,8.99,8.88,9.11,3300,F1222.png,TRUE,FALSE,FALSE,3300,FALSE,FALSE,FALSE
2229,364.9999,10.91,10.84,10.97,1800,F1223.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
2762,365.0246,13.91,13.73,14.26,2100,F1224.png,FALSE,TRUE,FALSE,2100,FALSE,FALSE,FALSE
1863,365.0596,10.06,10,10.15,10000,F1225.png,TRUE,FALSE,FALSE,10000,FALSE,FALSE,FALSE
1318,365.1205,8.86,8.78,8.91,1100,F1226.png,FALSE,TRUE,FALSE,1100,FALSE,FALSE,FALSE
107,365.2645,1.6,1.56,1.83,1700,F1227.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
54,365.34,1.57,1.52,1.64,1500,F1228.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
1874,366.0621,10.08,10.03,10.12,1500,F1229.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
2171,366.1072,10.74,10.59,10.83,12000,F1230.png,TRUE,FALSE,FALSE,12000,FALSE,FALSE,FALSE
1541,366.1074,9.5,9.02,9.89,120000,F1231.png,TRUE,FALSE,FALSE,120000,FALSE,FALSE,FALSE
1237,366.108,8.54,8.22,8.91,56000,F1232.png,FALSE,TRUE,FALSE,56000,FALSE,FALSE,FALSE
2688,366.9815,12.77,12.63,13.06,2800,F1233.png,TRUE,FALSE,FALSE,2800,FALSE,FALSE,FALSE
1763,367.0457,9.89,9.81,10,1200,F1234.png,FALSE,TRUE,FALSE,1200,FALSE,FALSE,FALSE
482,367.0624,1.86,1.76,2.68,17000,F1235.png,TRUE,FALSE,FALSE,17000,FALSE,FALSE,FALSE
2172,367.1043,10.74,10.54,10.85,46000,F1236.png,TRUE,FALSE,FALSE,46000,FALSE,FALSE,FALSE
1542,367.1046,9.5,8.98,9.93,470000,F1237.png,TRUE,FALSE,FALSE,470000,FALSE,FALSE,FALSE
1238,367.1052,8.54,8.18,8.98,260000,F1238.png,FALSE,TRUE,FALSE,260000,FALSE,FALSE,FALSE
1386,367.1377,8.99,8.91,9.02,3000,F1239.png,TRUE,FALSE,FALSE,3000,FALSE,FALSE,FALSE
685,367.2101,2.06,1.95,2.09,1300,F1240.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
2235,368.0348,10.96,10.91,11,2600,F1241.png,TRUE,FALSE,FALSE,2600,FALSE,FALSE,FALSE
488,368.0658,1.87,1.8,2.07,3500,F1242.png,TRUE,FALSE,FALSE,3500,FALSE,FALSE,FALSE
2173,368.1072,10.74,10.6,10.82,6800,F1243.png,TRUE,FALSE,FALSE,6800,FALSE,FALSE,FALSE
1543,368.1076,9.5,9.08,9.87,66000,F1244.png,TRUE,FALSE,FALSE,66000,FALSE,FALSE,FALSE
1239,368.108,8.54,8.27,8.83,33000,F1245.png,FALSE,TRUE,FALSE,33000,FALSE,FALSE,FALSE
1170,368.138,7.96,7.84,8.1,1200,F1246.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
2804,368.9743,14.2,14.1,14.53,6700,F1247.png,TRUE,FALSE,FALSE,6700,FALSE,FALSE,FALSE
3859,368.9746,14.76,14.53,14.94,2300,F1248.png,FALSE,TRUE,FALSE,2300,FALSE,FALSE,FALSE
2699,368.9973,12.93,12.8,13.06,1500,F1249.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
503,369.0627,1.88,1.81,1.96,1200,F1250.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
2185,369.1083,10.75,10.65,10.8,1500,F1251.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
1240,369.1091,8.54,8.31,8.79,8000,F1252.png,FALSE,TRUE,FALSE,8000,FALSE,FALSE,FALSE
1409,369.12,9.05,8.8,9.16,140000,F1253.png,TRUE,FALSE,FALSE,140000,FALSE,FALSE,FALSE
829,369.2257,2.93,2.89,3.01,1200,F1254.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
1951,370.1086,10.28,10.2,10.34,3500,F1255.png,TRUE,FALSE,FALSE,3500,FALSE,FALSE,FALSE
1527,370.1115,9.48,9.33,9.55,1500,F1256.png,FALSE,TRUE,FALSE,1500,FALSE,FALSE,FALSE
1085,370.1348,7.26,7.15,7.42,1300,F1257.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
1357,370.1376,8.95,8.88,9.05,78000,F1258.png,TRUE,FALSE,FALSE,78000,FALSE,FALSE,FALSE
134,370.2764,1.61,1.52,2.26,6700,F1259.png,TRUE,FALSE,FALSE,6700,FALSE,FALSE,FALSE
455,371.0129,1.78,1.69,2,1900,F1260.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
996,371.0588,3.42,3.2,5.12,36000,F1261.png,TRUE,FALSE,FALSE,36000,FALSE,FALSE,FALSE
108,371.0639,1.6,1.5,2.09,5600,F1262.png,TRUE,FALSE,FALSE,5600,FALSE,FALSE,FALSE
1896,371.0685,10.18,10.07,10.26,1700,F1263.png,FALSE,TRUE,FALSE,1700,FALSE,FALSE,FALSE
2243,371.0687,10.98,10.91,11.03,8000,F1264.png,TRUE,FALSE,FALSE,8000,FALSE,FALSE,FALSE
1367,371.1361,8.97,8.82,9.11,330000,F1265.png,TRUE,FALSE,FALSE,330000,FALSE,FALSE,FALSE
1112,371.1783,7.36,7.22,7.6,3400,F1266.png,TRUE,FALSE,FALSE,3400,FALSE,FALSE,FALSE
159,371.2798,1.62,1.55,1.74,1400,F1267.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
2665,371.5374,12.61,12.5,12.78,7200,F1268.png,TRUE,FALSE,FALSE,7200,FALSE,FALSE,FALSE
2667,372.0388,12.62,12.53,12.72,1900,F1269.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
997,372.0616,3.44,3.23,4.06,7800,F1270.png,TRUE,FALSE,FALSE,7800,FALSE,FALSE,FALSE
109,372.0639,1.6,1.52,1.81,1800,F1271.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
1441,372.0951,9.16,9.04,9.42,21000,F1272.png,TRUE,FALSE,FALSE,21000,FALSE,FALSE,FALSE
1368,372.1391,8.97,8.85,9.08,44000,F1273.png,TRUE,FALSE,FALSE,44000,FALSE,FALSE,FALSE
2753,372.8999,13.86,12.63,14.03,8100,F1274.png,TRUE,FALSE,FALSE,8100,FALSE,FALSE,FALSE
2643,372.9831,12.55,12.38,12.68,4200,F1275.png,TRUE,FALSE,FALSE,4200,FALSE,FALSE,FALSE
2847,373.0079,14.27,14.17,14.86,4100,F1276.png,TRUE,FALSE,FALSE,4100,FALSE,FALSE,FALSE
110,373.044,1.6,1.51,2.06,7400,F1277.png,TRUE,FALSE,FALSE,7400,FALSE,FALSE,FALSE
998,373.0582,3.44,3.28,3.79,3000,F1278.png,TRUE,FALSE,FALSE,3000,FALSE,FALSE,FALSE
1209,373.06,8.41,8.21,8.48,1300,F1279.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
1442,373.0982,9.16,9.07,9.31,2900,F1280.png,TRUE,FALSE,FALSE,2900,FALSE,FALSE,FALSE
293,373.1162,1.7,1.55,2.06,3100,F1281.png,TRUE,FALSE,FALSE,3100,FALSE,FALSE,FALSE
1358,373.1397,8.95,8.86,9.07,10000,F1282.png,TRUE,FALSE,FALSE,10000,FALSE,FALSE,FALSE
451,373.185,1.74,1.62,2.11,2400,F1283.png,TRUE,FALSE,FALSE,2400,FALSE,FALSE,FALSE
2963,374.0053,14.36,14.21,14.63,1500,F1284.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
95,374.0441,1.59,1.52,1.87,2200,F1285.png,TRUE,FALSE,FALSE,2200,FALSE,FALSE,FALSE
1413,374.1102,9.07,8.9,9.09,1600,F1286.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
1187,374.1138,8.08,7.93,8.21,3300,F1287.png,TRUE,FALSE,FALSE,3300,FALSE,FALSE,FALSE
1395,374.1426,9,8.9,9.03,1100,F1288.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
160,374.2442,1.62,1.51,3.84,1300000,F1289.png,TRUE,FALSE,FALSE,1300000,FALSE,FALSE,FALSE
2691,374.9679,12.79,12.64,13.22,4000,F1290.png,TRUE,FALSE,FALSE,4000,FALSE,FALSE,FALSE
949,375.0291,3.16,2.98,4.34,9800,F1291.png,TRUE,FALSE,FALSE,9800,FALSE,FALSE,FALSE
96,375.0408,1.59,1.53,1.76,1800,F1292.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
1068,375.1578,7.16,6.97,7.39,1700,F1293.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
161,375.2469,1.62,1.51,3.86,290000,F1294.png,TRUE,FALSE,FALSE,290000,FALSE,FALSE,FALSE
941,376.0327,3.14,3.01,3.67,1800,F1295.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
1898,376.0995,10.19,10.15,10.26,1000,F1296.png,TRUE,FALSE,FALSE,1000,FALSE,FALSE,FALSE
1718,376.0998,9.85,9.75,9.93,1100,F1297.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
162,376.2489,1.62,1.52,2.93,42000,F1298.png,TRUE,FALSE,FALSE,42000,FALSE,FALSE,FALSE
3860,376.9159,14.76,14.08,15.05,7400,F1299.png,TRUE,FALSE,FALSE,7400,FALSE,FALSE,FALSE
3780,376.961,14.69,14.15,14.98,18000,F1300.png,TRUE,FALSE,FALSE,18000,FALSE,FALSE,FALSE
1901,377.0842,10.2,9.56,10.38,84000,F1301.png,TRUE,FALSE,FALSE,84000,FALSE,FALSE,FALSE
509,377.1988,1.89,1.79,2.1,4700,F1302.png,TRUE,FALSE,FALSE,4700,FALSE,FALSE,FALSE
528,377.2336,1.95,1.88,2.06,3000,F1303.png,TRUE,FALSE,FALSE,3000,FALSE,FALSE,FALSE
135,377.2512,1.61,1.55,1.89,3900,F1304.png,TRUE,FALSE,FALSE,3900,FALSE,FALSE,FALSE
3799,377.9641,14.71,14.56,14.86,1400,F1305.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1780,378.0875,9.9,9.65,10,11000,F1306.png,TRUE,FALSE,FALSE,11000,FALSE,FALSE,FALSE
1902,378.0883,10.2,10,10.34,14000,F1307.png,TRUE,FALSE,FALSE,14000,FALSE,FALSE,FALSE
1552,378.1495,9.52,9.45,9.59,1300,F1308.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
510,378.2015,1.89,1.87,1.96,1100,F1309.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
3865,378.9592,14.77,14.42,14.9,2900,F1310.png,TRUE,FALSE,FALSE,2900,FALSE,FALSE,FALSE
1781,379.0819,9.9,9.57,10.02,28000,F1311.png,TRUE,FALSE,FALSE,28000,FALSE,FALSE,FALSE
1903,379.0821,10.2,10.02,10.36,34000,F1312.png,TRUE,FALSE,FALSE,34000,FALSE,FALSE,FALSE
1116,379.1409,7.37,7.29,7.47,1300,F1313.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
489,379.2129,1.87,1.77,2.06,2800,F1314.png,TRUE,FALSE,FALSE,2800,FALSE,FALSE,FALSE
2291,380.0246,11.09,11.02,11.18,2700,F1315.png,TRUE,FALSE,FALSE,2700,FALSE,FALSE,FALSE
1782,380.0849,9.9,9.73,10.02,4000,F1316.png,TRUE,FALSE,FALSE,4000,FALSE,FALSE,FALSE
1904,380.085,10.2,10.02,10.32,5200,F1317.png,TRUE,FALSE,FALSE,5200,FALSE,FALSE,FALSE
2360,381.0412,11.32,11.19,11.47,9500,F1318.png,TRUE,FALSE,FALSE,9500,FALSE,FALSE,FALSE
1915,381.0933,10.22,10.17,10.3,2600,F1319.png,TRUE,FALSE,FALSE,2600,FALSE,FALSE,FALSE
1719,381.0966,9.85,9.76,9.9,1900,F1320.png,FALSE,TRUE,FALSE,1900,FALSE,FALSE,FALSE
1495,381.0981,9.42,9.13,9.53,2300,F1321.png,FALSE,TRUE,FALSE,2300,FALSE,FALSE,FALSE
2368,382.0438,11.33,11.25,11.42,1600,F1322.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
1127,382.0801,7.5,7.45,7.61,1000,F1323.png,TRUE,FALSE,FALSE,1000,FALSE,FALSE,FALSE
