ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
42815,24991,418,4546,2552,1.0086064745161818,Biotransform,H-1N-1O1,0,0,C6H10N2O3,C6H9N1O4,919,0,0,NA,NA,NA,0,0
49911,89321,422,5093,7357,0.1463536133915421,Biotransform,H-1N-1O1,0,0,C6H9N1O4,C6H8O5,928,0,0,NA,NA,NA,0,0
49911,54060,423,5093,5591,0.5275151579333146,Biotransform,H-1N-1O1,0,0,C6H9N1O4,C6H8O5,932,0,0,NA,NA,NA,0,0
49911,42764,424,5093,4537,1.0961326598252081,Biotransform,H-1N-1O1,0,0,C6H9N1O4,C6H8O5,936,0,0,NA,NA,NA,0,0
51056,89321,425,5254,7357,-0.041102982906355445,Biotransform,H-1N-1O1,0,0,C6H9N1O4,C6H8O5,940,0,0,NA,NA,NA,0,0
51056,54060,426,5254,5591,0.34005863308667333,Biotransform,H-1N-1O1,0,0,C6H9N1O4,C6H8O5,944,0,0,NA,NA,NA,0,0
51056,42764,427,5254,4537,0.9086762415696839,Biotransform,H-1N-1O1,0,0,C6H9N1O4,C6H8O5,948,0,0,NA,NA,NA,0,0
24991,89321,428,2552,7357,-0.5159930267544725,Biotransform,H-1N-1O1,0,0,C6H9N1O4,C6H8O5,952,0,0,NA,NA,NA,0,0
24991,54060,429,2552,5591,-0.13483122975159462,Biotransform,H-1N-1O1,0,0,C6H9N1O4,C6H8O5,956,0,0,NA,NA,NA,0,0
24991,42764,430,2552,4537,0.4337866487622458,Biotransform,H-1N-1O1,0,0,C6H9N1O4,C6H8O5,960,0,0,NA,NA,NA,0,0
51039,38987,441,5249,3951,-0.41965497671110513,Biotransform,H-1N-1O1,0,0,C5H8N2O4,C5H7N1O5,1000,0,0,NA,NA,NA,0,0
51039,23108,443,5249,2291,-0.040848935993631014,Biotransform,H-1N-1O1,0,0,C5H8N2O4,C5H7N1O5,1008,0,0,NA,NA,NA,0,0
51039,51442,444,5249,5319,-0.040848935993631014,Biotransform,H-1N-1O1,0,0,C5H8N2O4,C5H7N1O5,1012,0,0,NA,NA,NA,0,0
51039,33005,445,5249,3298,0.0523000464096653,Biotransform,H-1N-1O1,0,0,C5H8N2O4,C5H7N1O5,1016,0,0,NA,NA,NA,0,0
51039,50785,446,5249,5208,0.0523000464096653,Biotransform,H-1N-1O1,0,0,C5H8N2O4,C5H7N1O5,1020,0,0,NA,NA,NA,0,0
51039,32305,447,5249,3149,0.530464549894073,Biotransform,H-1N-1O1,0,0,C5H8N2O4,C5H7N1O5,1024,0,0,NA,NA,NA,0,0
54801,65773,449,5694,6599,-0.4195601985658384,Biotransform,H-1N-1O1,0,0,C6H12N2O3,C6H11N1O4,1032,0,0,NA,0.11478152288354643,NA,0.11478152288354643,1
57184,65773,450,6025,6599,-0.4195601985658384,Biotransform,H-1N-1O1,0,0,C6H12N2O3,C6H11N1O4,1036,0,0,NA,0.20493012864535895,NA,0.20493012864535895,1
65773,56006,456,6599,5867,0.4283913792597446,Biotransform,H-1N-1O1,0,0,C6H11N1O4,C6H10O5,1049,0,0,NA,NA,NA,0,0
65773,57952,457,6599,6119,0.4283913792597446,Biotransform,H-1N-1O1,0,0,C6H11N1O4,C6H10O5,1053,0,0,NA,NA,NA,0,0
43303,49639,474,4646,5055,0.14888551767448518,Biotransform,H-1N-1O1,0,0,C5H9N1O5,C5H8O6,1112,0,0,NA,NA,NA,0,0
43303,89027,477,4646,7342,0.8926418409250388,Biotransform,H-1N-1O1,0,0,C5H9N1O5,C5H8O6,1130,0,0,NA,NA,NA,0,0
43659,50836,484,4708,5216,0.3317030513319108,Biotransform,H-1N-1O1,0,0,C6H13N1O4,C6H12O5,1176,0,0,NA,NA,NA,0,0
43659,42533,485,4708,4502,0.42312827754999605,Biotransform,H-1N-1O1,0,0,C6H13N1O4,C6H12O5,1182,0,0,NA,NA,NA,0,0
43659,40814,486,4708,4220,1.4470896697363405,Biotransform,H-1N-1O1,0,0,C6H13N1O4,C6H12O5,1188,0,0,NA,NA,NA,0,0
58275,50836,488,6142,5216,0.05133223880194829,Biotransform,H-1N-1O1,0,0,C6H13N1O4,C6H12O5,1200,0,0,NA,NA,NA,0,0
58275,42533,489,6142,4502,0.14275749065300702,Biotransform,H-1N-1O1,0,0,C6H13N1O4,C6H12O5,1206,0,0,NA,NA,NA,0,0
58275,40814,490,6142,4220,1.1667191699283344,Biotransform,H-1N-1O1,0,0,C6H13N1O4,C6H12O5,1212,0,0,NA,NA,NA,0,0
66354,50836,492,6642,5216,-0.2290385737280142,Biotransform,H-1N-1O1,0,0,C6H13N1O4,C6H12O5,1224,0,0,NA,NA,NA,0,0
66354,42533,493,6642,4502,-0.137613296243982,Biotransform,H-1N-1O1,0,0,C6H13N1O4,C6H12O5,1230,0,0,NA,NA,NA,0,0
66354,40814,494,6642,4220,0.8863486701203279,Biotransform,H-1N-1O1,0,0,C6H13N1O4,C6H12O5,1236,0,0,NA,NA,NA,0,0
23351,16465,496,2325,1686,0.14194327342801347,Biotransform,H-1N-1O1,0,0,C4H8N2O3S1,C4H7N1O4S1,1248,0,0,NA,NA,NA,0,0
23351,11248,497,2325,1131,0.32981109097808403,Biotransform,H-1N-1O1,0,0,C4H8N2O3S1,C4H7N1O4S1,1249,0,0,NA,NA,NA,0,0
43508,51564,515,4687,5333,0.14023037069150865,Biotransform,H-1N-1O1,0,0,C4H10N2O3S1,C4H9N1O4S1,1327,0,0,NA,NA,NA,0,0
43098,1329,518,4600,219,0.6870384688872868,Biotransform,H-1N-1O1,0,0,C6H5N3O1S1,C6H4N2O2S1,1331,0,0,NA,NA,NA,0,0
44148,42613,520,4803,4514,0.14535139824370555,Biotransform,H-1N-1O1,0,0,C3H9N3O3S1,C3H8N2O4S1,1333,0,0,NA,NA,NA,0,0
14886,23450,523,1460,2347,0.13938165260641147,Biotransform,H-1N-1O1,0,0,C8H9N1O3,C8H8O4,1338,0,0,NA,NA,NA,0,0
42613,55371,524,4514,5784,0.31609815110289563,Biotransform,H-1N-1O1,0,0,C3H8N2O4S1,C3H7N1O5S1,1342,0,0,NA,NA,NA,0,0
55371,57143,536,5784,6019,-1.115241497166825,Biotransform,H-1N-1O1,0,0,C3H7N1O5S1,C3H6O6S1,1344,0,0,NA,NA,NA,0,0
65997,65426,553,6617,6568,0.5836845420552046,Biotransform,H-1N-1O1,0,0,C6H9N3O3,C6H8N2O4,1369,0,0,NA,NA,NA,0,0
87001,65426,554,7267,6568,-0.03823342420256963,Biotransform,H-1N-1O1,0,0,C6H9N3O3,C6H8N2O4,1373,0,0,NA,NA,NA,0,0
40883,33187,556,4233,3349,0.04866979578716372,Biotransform,H-1N-1O1,0,0,C5H8N4O3,C5H7N3O4,1377,0,0,NA,NA,NA,0,0
61963,54113,562,6370,5603,0.398954134759042,Biotransform,H-1N-1O1,0,0,C5H7N3O2S1,C5H6N2O3S1,1392,0,0,NA,NA,NA,0,0
54634,54113,566,5673,5603,0.140348273997981,Biotransform,H-1N-1O1,0,0,C5H7N3O2S1,C5H6N2O3S1,1396,0,0,NA,NA,NA,0,0
54113,4381,573,5603,549,-0.8261890419831727,Biotransform,H-1N-1O1,0,0,C5H6N2O3S1,C5H5N1O4S1,1400,0,0,NA,NA,NA,0,0
42469,59043,584,4492,6189,-0.03757827045100492,Biotransform,H-1N-1O1,0,0,C6H10N2O4,C6H9N1O5,1412,0,0,NA,NA,NA,0,0
43233,42087,588,4631,4413,-0.037570462872793156,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1426,0,0,NA,0.17696523401703362,NA,0.17696523401703362,1
43233,43102,589,4631,4602,0.13948702945548294,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1430,0,0,NA,NA,NA,0,0
66734,42087,590,6662,4413,-0.1289549877001614,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1434,0,0,NA,NA,NA,0,0
66734,43102,591,6662,4602,0.04810252080842892,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1438,0,0,NA,NA,NA,0,0
56554,42087,592,5943,4413,-0.21462797989829638,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1442,0,0,NA,NA,NA,0,0
56554,43102,593,5943,4602,-0.03757045622066147,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,1446,0,0,NA,NA,NA,0,0
106636,66016,594,8142,6620,-0.38594927511610505,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,1450,0,0,NA,0.5623622886436929,NA,0.5623622886436929,1
106636,57572,595,8142,6071,-0.03756804642497106,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,1454,0,0,NA,0.5622931013622148,NA,0.5622931013622148,1
59043,55172,602,6189,5748,-0.03736820984352373,Biotransform,H-1N-1O1,0,0,C6H9N1O5,C6H8O6,1468,0,0,NA,NA,NA,0,0
59043,39298,604,6189,4000,0.13305534565106622,Biotransform,H-1N-1O1,0,0,C6H9N1O5,C6H8O6,1480,0,0,NA,NA,NA,0,0
15632,17030,606,1562,1770,0.1330438130011955,Biotransform,H-1N-1O1,0,0,C10H9N1O2,C10H8O3,1492,0,0,NA,NA,NA,0,0
42087,51463,609,4413,5322,1.3484630312622976,Biotransform,H-1N-1O1,0,0,C7H13N1O4,C7H12O5,1502,0,0,NA,NA,NA,0,0
43102,51463,611,4602,5322,1.17239529544064,Biotransform,H-1N-1O1,0,0,C7H13N1O4,C7H12O5,1510,0,0,NA,NA,NA,0,0
66016,53308,613,6620,5493,0.8258873237201414,Biotransform,H-1N-1O1,0,0,C6H13N3O3,C6H12N2O4,1518,0,0,NA,0.36663657602499966,NA,0.36663657602499966,1
57572,53308,615,6071,5493,0.4794533126336205,Biotransform,H-1N-1O1,0,0,C6H13N3O3,C6H12N2O4,1526,0,0,NA,0.3665605689807921,NA,0.3665605689807921,1
15599,16487,623,1557,1689,0.9743372295110844,Biotransform,H-1N-1O1,0,0,C9H9N1O3,C9H8O4,1532,0,0,NA,NA,NA,0,0
